Parameters (omega ignored when numberOfElectrons = 1):
n: 200
numberOfElectrons: 2
rhoFinal: 5
omega: 5
Tolerance: 1e-10
Iterations needed: 69710
Calculation time; 2.81239

Eigenvalues--- ---First Eigenvector--- ---Second--- ---Third
6394.87 -2.59994e-14 -1.88551e-14 -3.54635e-16
6405.17 -2.64001e-14 -1.83986e-14 -1.14741e-14
6416.26 -3.02191e-14 -2.18107e-14 4.93697e-15
6429.24 -3.01356e-14 -2.56324e-14 3.77123e-15
6443.85 -2.28787e-14 -1.81099e-14 1.21323e-14
6459.92 -1.67196e-14 -1.83738e-14 3.16085e-15
6477.35 -2.36092e-14 -2.52917e-14 -2.34429e-15
6496.12 -2.31983e-14 -2.58692e-14 -9.25553e-15
6516.25 -1.74695e-14 -2.35337e-14 -1.15462e-14
6537.77 -1.02701e-14 -1.81402e-14 -6.44954e-15
6560.77 -1.36878e-14 -1.9882e-14 -1.37869e-16
6585.34 -1.37085e-14 -8.47581e-15 8.18892e-15
6611.63 -9.79104e-15 -4.45829e-16 -2.86936e-15
6639.81 -7.58373e-15 7.65542e-16 -5.77755e-15
6670.13 -4.04011e-15 -5.44149e-16 -1.23221e-14
6702.95 -5.92818e-15 -2.0536e-15 -1.71581e-14
6738.75 -2.69284e-15 4.10563e-15 -1.78492e-14
6778.29 -5.92434e-15 -2.97227e-16 -4.62218e-15
6822.82 -6.60076e-15 -2.24166e-15 5.93247e-16
6874.76 2.31944e-15 -1.74413e-15 5.28432e-15
6940.33 4.52106e-15 5.40452e-15 8.30323e-15
